ar,sveitarfelag,hluti,name,y,is_percent
2002,Dalabyggð,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,-7.001640480982259e-4,TRUE
2002,Dalabyggð,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Dalvíkurbyggð,A og B-hluti,Eiginfjárhlutfall,0.2971053980632687,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Dalvíkurbyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.09093981071279378,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.47995302980421534,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Launa- og launatengd gjöld á íbúa,178971.66998011927,FALSE
2002,Dalvíkurbyggð,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.4059470879198364,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.12397859676290673,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Skuldir sem hlutfall af tekjum,1.6216464315077788,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Skuldir á íbúa,605830.0198807158,FALSE
2002,Dalvíkurbyggð,A og B-hluti,Veltufjárhlutfall,1.069039792992517,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.08864888739885747,TRUE
2002,Dalvíkurbyggð,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Eiginfjárhlutfall,0.9618063745145211,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Framlegð sem hlutfall af tekjum,0.32894799448065853,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.04233566625497461,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Launa- og launatengd gjöld á íbúa,10547.008547008547,FALSE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,-0.31757624779940047,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.32628348479802066,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Skuldir sem hlutfall af tekjum,0.05778655374220869,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Skuldir á íbúa,20760.68376068376,FALSE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Veltufjárhlutfall,6.432688349114862,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.19198743874006757,TRUE
2002,Eyja- og Miklaholtshreppur,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Eyjafjarðarsveit,A og B-hluti,Eiginfjárhlutfall,0.7357256240399738,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Eyjafjarðarsveit,A og B-hluti,Framlegð sem hlutfall af tekjum,0.08689141903616827,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5158037396058254,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Launa- og launatengd gjöld á íbúa,160556.6905005107,FALSE
2002,Eyjafjarðarsveit,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,0.2769326916671161,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,0.01230247984747209,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Skuldir sem hlutfall af tekjum,0.4573743500591648,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Skuldir á íbúa,147266.59856996936,FALSE
2002,Eyjafjarðarsveit,A og B-hluti,Veltufjárhlutfall,1.8450570664137909,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.07474121330748904,TRUE
2002,Eyjafjarðarsveit,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Fjallabyggð,A og B-hluti,Eiginfjárhlutfall,0.1955965714081063,TRUE
2002,Fjallabyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Fjallabyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.10845175273896344,TRUE
2002,Fjallabyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Fjallabyggð,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.5279953704153982,TRUE
2002,Fjallabyggð,A og B-hluti,Launa- og launatengd gjöld á íbúa,213559.79543666405,FALSE
2002,Fjallabyggð,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.3655957392542566,TRUE
2002,Fjallabyggð,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.03160172304587981,TRUE
2002,Fjallabyggð,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Fjallabyggð,A og B-hluti,Skuldir sem hlutfall af tekjum,1.5219808816069464,TRUE
