sveitarfelag,ar,hluti,name,obs,vidmid,diff,colour
Akraneskaupstaður,2017,A og B-hluti,framlegd,0.04683157457746213,0.05740503971497294,-0.010573465137510812,FALSE
Akraneskaupstaður,2017,A og B-hluti,veltufe,0.12733077526519623,0.02870251985748647,0.09862825540770977,TRUE
Akraneskaupstaður,2017,A og B-hluti,veltufjarhlutfall,1.619570455681843,1,0.6195704556818431,TRUE
Akraneskaupstaður,2018,A-hluti,nettoskuldir,0.45241878823424264,1,-0.5475812117657574,FALSE
Akraneskaupstaður,2018,A-hluti,rekstrarnidurstada,0.06393613772829919,0,0.06393613772829919,TRUE
Akraneskaupstaður,2018,A-hluti,framlegd,0.11677315011165557,0.045241878823424266,0.07153127128823131,TRUE
Akraneskaupstaður,2018,A-hluti,veltufe,0.21359799201120444,0.022620939411712133,0.1909770525994923,TRUE
Akraneskaupstaður,2018,A-hluti,veltufjarhlutfall,2.753605697586519,1,1.753605697586519,TRUE
Akraneskaupstaður,2018,A og B-hluti,nettoskuldir,0.4352875696028928,1,-0.5647124303971072,FALSE
Akraneskaupstaður,2018,A og B-hluti,rekstrarnidurstada,0.09932967061811648,0,0.09932967061811648,TRUE
Akraneskaupstaður,2018,A og B-hluti,framlegd,0.10794971213194682,0.04352875696028928,0.06442095517165754,TRUE
Akraneskaupstaður,2018,A og B-hluti,veltufe,0.194925603884805,0.02176437848014464,0.17316122540466036,TRUE
Akraneskaupstaður,2018,A og B-hluti,veltufjarhlutfall,2.519271333815947,1,1.5192713338159471,TRUE
Akraneskaupstaður,2019,A-hluti,nettoskuldir,0.43358469024265417,1,-0.5664153097573459,FALSE
Akraneskaupstaður,2019,A-hluti,rekstrarnidurstada,0.0860575348871204,0,0.0860575348871204,TRUE
Akraneskaupstaður,2019,A-hluti,framlegd,0.08376454639584634,0.04335846902426542,0.04040607737158092,TRUE
Akraneskaupstaður,2019,A-hluti,veltufe,0.16840428728700446,0.02167923451213271,0.14672505277487174,TRUE
Akraneskaupstaður,2019,A-hluti,veltufjarhlutfall,2.327134930843039,1,1.3271349308430391,TRUE
Akraneskaupstaður,2019,A og B-hluti,nettoskuldir,0.4132182188163286,1,-0.5867817811836714,FALSE
Akraneskaupstaður,2019,A og B-hluti,rekstrarnidurstada,0.07606343356276919,0,0.07606343356276919,TRUE
Akraneskaupstaður,2019,A og B-hluti,framlegd,0.07833404712001525,0.04132182188163286,0.03701222523838239,TRUE
Akraneskaupstaður,2019,A og B-hluti,veltufe,0.15266372422708688,0.02066091094081643,0.13200281328627045,TRUE
Akraneskaupstaður,2019,A og B-hluti,veltufjarhlutfall,2.1907404732777356,1,1.1907404732777356,TRUE
Akraneskaupstaður,2020,A-hluti,nettoskuldir,0.4538165305551679,1,-0.5461834694448321,FALSE
Akraneskaupstaður,2020,A-hluti,rekstrarnidurstada,0.07879355027640925,0,0.07879355027640925,TRUE
